source,target
梯级,梯子 步骤 通过 环 贝尔 时态 
赛跑者,快速 运动员 冲刺 马拉松 竞赛 运行 人 
农村,郊区 国家 镇 城市 农场 
仓促,快速 移动 乐队 着急 迅速 
俄罗斯,欧洲 大 国家 冷 战争 共产主义 亚洲 
黑麦,谷物 食品 类型 面包 小麦 
军刀,明星 锋利 曲线 光 类型 剑 武器 战争 
麻袋,东西 麻布 携带 袋 肩 举行 材料 磨损 马铃薯 布 在 
神圣的,圣洁的 重要的 特殊的 价值的 宗教的 
鞍,棕色 马ir 坐 返回 表带 起伏 皮革 骑 上 马 
野生动物园,狩猎 野生 旅行 动物 加速 非洲 冒险 丛林 
安全,感觉 锁定 系统 锁 伤害 首页 安全 危险 警报 警卫队 保护 价值 人 
帆船,体育 旅行 大小 人类 小 水 风帆 休闲 桅杆 风 运输 浮法 海 船 大 电动机 
水手,一个 舰船 海军 海 风帆 工作 船 人 
沙拉,水果 服饰 食品 生菜 油煎面包块 不同 番茄 蔬菜 吃 健康 奶酪 绿色 
出售,出售 好 交易 购买 钱 存储 价格 
销售,出售 项目 客户 钱 购买 
推销员,出售 产生 存储 门 工作 人 
唾液,消化 吐 食品 口服 液体 嘴巴 
三文鱼,动物 水 鱼 游泳 吃 蛋 粉色 尾巴 鳍 铺设 g 
轿车,野生 牛仔 酒精 旧 饮料 地方 西 栏 
盐,风味 口味 季节 食品 海洋 水 胡椒 白 钠 
撒盐,类型 吃 盐 酥脆 饼干 
礼炮,登录 手势 军事 荣誉 手臂 尊重 承认 手 
同样,平等 不同 孪生 身份 喜欢 
样品,件 食品 小 尝试 免费 示例 测试 部分 
砂,岩 粒子 小 松散 海滩 土壤 粮食 
凉鞋,暴露 棕色 打开 夏季 脚 鞋类 表带 基督 天气 舒适 热 塑料 皮革 磨损 唯一 步行 沙 
砂纸,出售 棕色 硬 表 大小 精 车间 它 纹理 木工 木材 砂砾 光滑 粗糙 沙 
三明治,两个 口味 食品 肉 花生 面包 片断 黄油 吃 午餐 奶酪 
圣诞老人,雪橇 克劳斯 胡子 驯鹿 红色 基督 白 目前 玩具 儿童 小精灵 饼干 脂肪 欢乐 
汁液,糖浆 来 枫树 棒 树 
蓝宝石,费用 颜色 岩 珠宝 值 宝石 珍贵 蓝色 
沙丁鱼,口味 小 气味 水 鱼 游泳 坏 盐 吃 软泥 比萨 可以 
腰带,颜色 皮带 领带 腰部 功能区 磨损 布 
s,根 离开 树皮 树 医学 
撒旦,魔鬼 基督 地狱 黑暗 邪恶 
缎面,丝绸 魔鬼 光滑 软 布 
酱料,风味 口味 食品 吃 液体 香料 
碟,猫 飞 瓷 休息 平 中国 一轮 滴水 杯 板 酱 模式 渔获 菜 茶杯 部分 设置 饲料 ufo 
香肠,地面 早餐 肉 食品 吃 猪肉 香料 
保存,计算 保持 钱 举行 文件 
救世主,救援 帮助 保存 基督 耶稣 英雄 神 人 
看到,边缘 木工 木 能源 长 材料 分开 弯曲 刀 拆分 件 物理 切 树 行动 生成 森林 移动 电动 人类 电源 重复 危险马 手 爪 返回 消防 对象 大 肢体 
锯木架,工具 木材 锯 支持 框架 
萨克斯管,音乐 木管乐器 乐队 金属 仪器 播放 芦苇 爵士乐 吹嘴 密钥 发光 黄铜 空气 黄金 
说,两个 通知 沟通 明智 语音 单词 嘴里 产生 短语 简短的 说 告诉 认为意见 创建 行动 人类 平均 表达 解释 内容 短 谈话 
规模,设备 查找 称重 鱼 措施 
体重秤,爬行动物 称重 皮肤 鱼 措施 
手术刀,工具 刀 手术 锋利 仪器 医生 切 
丑闻,八卦 丑闻 坏 错误 行为 
替罪羊,责备 一个 采取 受害者 人 
疤痕,愈合 马克 伤口 受伤 皮肤 切 正文 离开 
稀缺性,硬 很少 短 缺乏 找到 稀有 
吓人,电影 原因 鬼 怪物 警报 万圣节 恐惧 
害怕,吓坏 感觉 电影 害怕 万圣节 恐惧 惊吓 
围巾,角 长 舒适 薄 头 棉花吊 冬季 磨损 保护 颜色 人类 大衣 头发 时尚 布 周围 盖 羊毛 脸 软 
风景,视图 周围 背景 风景 设置 
时间表,组织 课程 计划 学校 时间 
奖学金,学院 学校 赠款 免费 钱 给 学生 支付 
学校,教育 教 学院 作业 学习 地方 年级 高 学生 生成 人 
科学,生物学 实验 学习 学校 研究 学科 化学 
科学家,化工 智能 实验 大衣 科学 实验室 
剪刀,两个 银 边缘 金属 使用分开 塑料 材料 艺术 刀片式服务器 孔 切 人类 对 纸 危险 布 大小 部分 对象 
责骂,谴责 错 儿童 大喊 愤怒 
勺,铲 选择 奶油 勺子 数量 向上 使用 冰 
踏板车,快速 两个 头盔 推 小 车轮 慢 金属 车辆 儿童 运输 引擎 栏 手 
苏格兰威士忌,酒 酒精 饮料 胶带 苏格兰 
炒,混乱 顺序 向上 鸡蛋 混合 
废料,额外 项目 剩饭剩菜 金属 小 抛出 片断 结束 材料 离开 使用 
从头开始,表面 刮 锋利 爪 指甲 擦 痒 切 标记 
尖叫声,打开 低令人讨厌的 尖锐 沮丧 肺 锋利 沟通 快乐 携带 刺穿 刹车 电影 讨厌的人 激发 嘴里 轮胎 尖叫声 疼痛 惊喜 汽车 吓了一跳 沥青 血 说 恐惧 难过 足球 愤怒 吓坏 释放 参加 大声情感 伤害 车辆 声音 简短 保护 行动 大喊 喊 猛刺 摩擦 人类 噪声 哭 令人讨厌 攻击 坏 表达 危险 发出尖锐 鸟 声乐 喉咙 想 突然 吓坏了 帮助 动物 刺激性 获取 请 大声 强 停止 听到 调用 
屏幕,表面 视图 项目 计算 窗口 电影 错误 电视 
螺钉,螺旋 金属 木材 在一起 举行 对象 头 
螺丝起子,打开 金属 木工 橙色 饮料 工具箱 长 举行 材料 头 宽松 果汁 小 伏特加酒 机 平 螺丝 移动 人类 修复 在一起 直 手 工具 把 类型 对象 修复插槽 
螺丝,钉 轮到 线程 构造 大小 小 木工 木材 螺栓 在一起 举行 结束 事 平 点 
擦洗,移动 硬 擦 清洁 刷 清洗 
水肺潜水,坦克 潜水 仪器 根据 设备 水 呼吸 空气 
雕塑,尺寸 大理石 石头 图 雕像 模具 粘土 三个 艺术 雕塑 雕刻 
沧海,动物 海洋 水 鱼 许多 正文 盐 船 蓝色 大 
海鲜,来 食品 海洋 虾 鱼 吃 牡蛎 螃蟹 龙虾 海 
海鸥,垃圾 大声 羽毛 蛋 噪声 海洋 粪便 鱼 喙 白 翼 海滩 吃 飞 鸟 灰色 铺设 
密封,平滑 水 游泳 吃 毛皮 哺乳动物 人 气候 翻转 鱼 可爱 狩猎 杀死 北极 做 危险 动物 冷 把戏 晶须 大 
接缝,两个 件 在一起 织物 缝制 布 线 
搜索,搜索 丢失 查找 谷歌 
海滨,桑迪 土地 海洋 满足 区域 水 海滩 海 砂 波 
调味料,风味 口味 食品 胡椒粉 草药 盐 添加 香料 
座位,外部 金属 座位 吃 舒适 材料 艺术 休息 腿 放松 使用平面 硬 人类 坐 四 对接 对象 软 使 靠垫 
安全带,生活 保存 安全 磨损 事故 保护 汽车 
海藻,动物 海洋 气味 水 长 成长 吃 植物 软泥 海 绿色 
僻静的,私人的 隐藏 离开 隔离 单独的 
第二,第三 地方 时间 第一 之后 数字 
秘密,知道 告诉 隐藏 保持 人 
秘书,协助 组织 办公室 对应 雇员 记录 工作 人 
隐秘,通知 隐藏 保持 行动 知道 
镇静剂,睡眠 诱导 镇静 药物 向下 丸 放松 人 
请参阅,视图 通知 确认 自愿 视觉视线 联系人 观察 查找 行动 生活 颜色 识别 眼 图片 过程 感知 帮助 请参阅 身份 对象 清除 手表 
种子,硬 花 地面 成长 植物 
寻找,搜索 尝试 查找 隐藏 
似乎,可能 出现 给予 方式 看 
很少,经常 场合 很少 一些 
自私,其他 一个 自己 想要 中心 护理 共享 自我 
卖,好 人类 交换 想要 获取 钱 购买 摆脱 业务 存储 意图 给 行动 
卖方,出售 好 交换 钱 销售 人 
学期,一半 类 学院 学校 夸脱 期间 年 时间 术语 
参议院,状态 法律 大会 理事会 正文 立法 政府 
参议员,状态 参议院 政治 人 代表 政府 
发送,通知 投入 沟通 去 目的 小 平面 信 时间 接收离开 运输 出去 行动 人类 某事 邮件 消息 朋友 金钱 
感,鼻子 感觉 感知 帮助 理解 恐吓 嘴里 触摸 正文 耳 经验 知道注意 自愿 眼 行动 确认 
敏感,情感 轻松 受伤 细腻 触摸 
句子,处罚 定罪 法官 单词 完成 
哨兵,前哨 人 警卫队 立场 手表 
严重,幽默 搞笑 重要 严重 笑话 
服务器,计算 食品 服务 餐厅 等待 人 
服务,维修 帮助 服务 工作 行动 提供 
设置,放置 收集 向下 在一起 对象 组 
七,运气 六 八 之前 数字 之后 
缝,裁缝 线程 联接 紧固 修复 机 针 布 
性别,性别 产生 男性 女性 性交 行为 
性感的,唤起 性别 上诉 兴趣 吸引 
棚屋,污垢 工具 泄漏 屋顶 由 旧 小 金属 作为 木材 向下 运行 房子 存储 时尚 
阴影,光 太阳 封面 酷 树 黑暗 
摇一摇,舞蹈 两个 锋利 推 强度 奶油 业务 第四 冰 快速 力 小 牛奶 行动 移动 结合 人类 手臂 重复 向上 巧克力 混合 你好 自愿暴力 搅拌 返回 正式 冷 触摸 向下 对象 振动 
浅,水 低 深 深度 池 人 
耻辱,感觉 内gui 情感 尴尬 坏 遗憾 
洗发水,好 肥皂 清洁 条件 气味 洗 淋浴 头发 
形状,窗体 图 对象 角度 轮廓 
锋利,刀 边缘 智能 切 点 
刮胡子,一天改进 多余 锋利 水 正文 女人 技能 刀片式服务器 层 肥皂 打孔 木材 切 制备 美容 表面 电动 腿部 人类 之一 想要 丢失 皮肤 重复 剃刀 光滑 头发 唇 动物 清洁 脸 
披肩,颜色 棉花 旧 针织 羊毛 肩 温暖 女人 磨损 布 
剪切,羊 剪刀 关闭 剪 头发 
剪板机,工具 羊毛 羊 切 剪刀 
棚,院子 工具 屋顶 割草机 由 金属 小 返回 木 自行车 户外 存储 生成 
羊,草 棉花 讨厌的人 拥抱 吃 哺乳动物 毛皮 尾巴 黑色 蹄 牧羊人 肉 小 气味 腿 声音 可爱 农场 灰色 绒毛 小羊 步行白色 噪声 作为 剪切 大衣 头发 字段 动物 剪辑 巴哈 澳大利亚 温柔 
工作表,床 棉花 布 纸 封面 薄 片 织物 层 
床单,颜色 床 睡眠 棉花 纸 温暖 舒适 封面 软 
架子,墙 件 本书 家具 木材 地方 举行 单位 存储 
贝壳,硬 颜色 休息 海滩 房子 形状 海 保护 
货架,组织 本书 壁 金属 橱柜 木材 塑料 单位 存储 使用 图书馆 
屏蔽,胸部 银 金属 强度 攻击固体 塑料 举行 前面 军事 平 封面 保卫 保护 战斗 没有 窗口 安全 武器 手 骑士 中世纪 隐藏 保持 剑 脸 对象 停止 大 
移位,移动 直接 齿轮 位置 更改 汽车 
闪耀,通知 快乐 金属 照亮 石油 盲目 闪光器 爱 太阳 显示 发光 行动 光清洁 黄金 狩猎 美容 光明 眼睛 生产 反射 信号 名词 良好 脸 对象 闪光 汽车 
瓦,屋顶 封面 房子 鸡 瓷砖 
衬衫,胸部 样式 长 按钮 女人 材料 舒适 躯干 购买 封面 向上温暖 颜色 人类 t 之一 手臂 人造 时尚 铁 袖子 顶部 短 衬衫 领带 脖子 对象 存储 软 
颤抖,肌肉 正文 吓了一跳 自愿 恐惧 摇动 剧烈 快速 力 高音 小 尴尬 狗 摇冷 时间 行动 移动 人类 表达 危险 控制 情感 冷 对象 振动 
休克,感觉 电动 正文 预期 惊喜 
鞋,舞蹈 两个 脚跟 样式 舒适 材料 塑料 钱 麂皮绒 孔 舌头 脚 带扣 气味 鞋底 温暖 购买 封面 磨损 运行 保护 颜色 硬 人类 需要 对 花边 皮革 鞋带 时尚 步行 布 体育 大小 类型 支持 高 对象 布游泳 
鞋带,颜色 领带 不同 鞋 字符串 
射击,狩猎 杀死 酒精 疼痛 枪 篮球 流感 子弹头 
商店,出售 好 放置 地方 股票 保持 商店 购买 存储 零售 
购物,费用 乐趣 购买 钱 购物中心 存储 女孩 布 支出 
岸,桑迪 土地 海洋 水 正文 海滩 海 海岸 沙 
短,小 高 
脆饼,水果 草莓 小 甜 甜点 鞭子 奶油 蛋糕​​ 
短裤,夏季 短 腿部 裤子 游泳 切 舒适 热 天气 磨损 关闭 温暖 膝盖 布 
弹枪,狩猎 杀死 警察 金属 危险 武器 枪 触发器 大声 子弹头 
肩膀,两个 胸部 肌肉 头 躯干 旋转 正文手势 附加 树干 一轮 关节 移动 硬 人类 手臂 垫 需要 向上 顶部 返回 部分 对象 电梯 强 肢体 
大喊,打开 肺 沮丧 获得 沟通 快乐 语音沥青 尖叫声 单词 嘴里 能源 吓了一跳 说 难过 愤怒 清除 力 提高 需求 尖叫 抱怨 声音 积极 行动 动词 喊 人类 噪声 令人讨厌 电源 可听 意图 突然 喉咙 消息 歌曲 干扰感觉 理解 项目 动物 谈话 意味着 刺激性 支持 脸 厌恶 大声 强 恐慌 听到 调用 
铲,塑料组织 棍 金属 肌肉 地方 长 举行 孔 独家新闻 物理 雪 木材 腿 运动 行动 移动 污垢 地面 人类 结束 意图 工作 手 捡 工具 挖 叶 土地 返回 桩 对象 电梯 清除 
淋浴,肥皂 清洁 雨 水 冷 洗发水 浴 热 浴室 人 
虾,口味 好 外壳 海洋 小 红色 水 海 游泳 白 吃 粉色 尾巴 大 
神社,圣洁 寺庙 神圣 地方 记忆 崇拜 
缩小,尺寸 得到 小 减小 少 
灌木,短 叶 小 植物 树 景观 绿色 布什 
兄弟姐妹,相同 兄弟 旧 家庭 儿童 姐姐 相关 年轻 父母 
镰刀,工具 草 新月 形状 切 单元格 收获 农场 刀片 粮食 镰刀 
侧,一个 返回 对 部分 离开 前面 
人行道,路径 行人 方式 街道 路 通道 混凝土 灰色 步行 
感叹,胸部 沮丧 肺 短音调 安静 推 吸入 快乐 轮胎 嘴里 长 悲伤 目的 经验 沥青 难过 大 释放 沉重 光 舒适感 缓慢 声音 放松 空气 行动 救济 鼻子 感觉 人类 噪声 口气 钻孔 表达 驱逐 关闭和弦 意图 喉咙 讨厌 情感 名词 呼气 请 任命 软 改善 
视线,颜色 接触 视觉 眼 请参阅 盲 玻璃 感官 
无声,静音 安静 声音 和平 噪音 
丝绸,费用 材料 光滑 软 织物 布 蠕虫 
傻,愚蠢 搞笑 缺乏 傻瓜 有感觉 
类似,相同 两个 双 不同 像 关闭 
唱,肺 快乐 节奏 调谐 嘴里 单词 悲伤 低 舒适 请注意漂亮 人 talent 乐趣 声音 和弦 基音 行动 美容 噪声 和谐 表达 旋律 鸟 声乐 歌曲 歌词 音乐 合唱团 动物 谈话 享受 
歌手,音乐 艺术 声音 人才 表演 唱歌 声乐 歌曲 
单身,独身 一个 已婚 孤独 相关 
水槽,意图船 下降 金属 水 举行 污渍 转到 底部 自愿 插头 液体 瓷 崩溃 沉重 法案 钢 搪瓷 管 行动 移动 脸盆 慢 洗衣 深 菜 浴室 木log 排水管 洗 下 点击 向下 对象 厨房 
沉降片,沉 称重 鱼 铅 线 
饮,服用 口味 小 量 慢 饮料 液体 
警报器,救护车 警告 信号 噪声 警察 消防 车辆 紧急情况 声音 警报 卡车 危险 报警 大声 
妹妹,相同 爱 朋友 兄弟姐妹 家庭 相关 女孩 女性 
坐,命令 座位 椅子 舒适 弯曲 休息 查找 放松 行动 地面 腿部 站立 位置对 人类 向上 意图 沙发 对接 谈话 良好 
情况,事件 好 情况 问题 地方 球衣 坏 海岸 
六,五 后 来 前 数 七 
滑板,快速 四个 车轮 董事会 执行 木 长 把戏 儿童 运输 骑 
素描,快速 铅笔 绘制 艺术 粗糙 
滑雪,山 雪 水 冷 运动 
防滑,刹车 尖叫声 轮胎 自愿 恐惧 黑色 崩溃 快速 冰 力 雪 橡胶 拖动 行动 表面 移动 摩擦 幻灯片 噪声 控制 滑下来 突然 假 离开 停止 汽车 
技能,杀死 好 能 人 技能 人才 游戏 实践 知道 
煎锅,库克 顶部 食品 金属 炉灶 手 潘 热 一轮 炒 铁 厨房 
皮肤,出 正文 封面 器官 层 感官 
跳过,移动 走 一个 通过 跳 结束 忽略 跳转 
滑雪板,绑定 山 引导 脚 幻灯片 雪 极 水 冷 木 对 长 向下 薄 磨损 
臭鼬,动物 小 四 气味 腿 何时 白 坏 危险 条纹 毛皮 尾巴 喷雾 森林 黑色 
天空,云 雨 太阳 明星 蓝色 
摩天大楼,楼梯 地板 公司 自己 城市 窗口 办公室 许多 高 房子 业务 电梯 生成 大 人 
平板,件 岩 肉 平 厚 混凝土 大 
s语,语音 正式 单词 s语 语言 
巴掌,打开 按 接触 影响 命中 疼痛 沥青 脸颊 棕榈 恐惧 响应 伤害 简要 声音 罢工愤怒 离开 行动 表面 移动 硬 战斗 东西 人类 某人 惩罚 在一起 突然 手 反射 激进 脸 暴力 对象 噪音 标记 大声 
奴隶,硬 劳动 财产 一个 服务 工作 人 
屠杀,杀死 屠杀 破坏 谋杀 失败 
雪橇,快速 雪橇 颜色 山 冬季 幻灯片 乐趣 金属 雪 木材 狗 向下 塑料 儿童 圣诞老人 运输 拉 
大锤,沉重 工具 构造 东西 金属 休息 木材 长 头 大 手 
睡眠,床 夜 休息 梦 轮胎 关闭 眼 枕头 
袖子,衬衫 手臂 长 部分 封面 布 
细长,小 苗条 皮肤 薄 娇小 
切片,蛋糕 件 部分 切 
光滑,表面 平坦 均匀 光泽 滑爽 湿 柔软 自由 光滑 粗糙 油 
滑动,移动 棒球 下降 滑动 通过 
幻灯片,平滑 自愿 转到 更改 议案 第四 冰 快速 直接 脚 泥 乐趣 查找 伤害 免费 行动 移动 污垢 地板 站立 幻灯片 首位 安全 激励 意图 秋天 胃 对接 朋友 返回 表面棒球 湿 向下 儿童 对象 
煤泥,滑 渗水 棒 物质 液体 毛 绿色 黏性 
黏糊糊的,感觉 总 棒 光滑 黏性 
吊索,投掷 携带 休息 手臂 举行 折腾 
弹弓,狩猎 男孩 弹性 石头 大卫 杀死 小 是 部分 玩具 危险 武器 巨人 形状 游戏 儿童 
滑,冰 下降 地板 幻灯片 湿 水 原因 纸 危险 光滑 秋天 衣服 
拖鞋,脚 鞋类 狗 对 保持 温暖 舒适 磨损 皮革 室内 软 绒毛 房子 嚼 布 
条子,小 木材 皮肤 薄 片 
懒,污垢 懒惰 清洁 混乱 斯洛文 人 
斜率,数学 山 倾斜 滑雪 项 向下 斜度 角度 
慢,快速 移动 速度 乌龟 时间 人 
慢慢地,快速 时间 乌龟 速度 
鼻涕虫,壳 史莱姆 蜗牛 慢 命中 昆虫 生物 
lur饮,s饮 饮料 粗鲁 吸吮 噪音 大声 
荡妇,污垢 性 女人 斯洛文尼亚 妓女 
狡猾,狐狸 狡猾 偷偷摸摸 聪明 迅速 
粉碎,金属 强度 破坏 命中 疼痛 崩溃 快速 力 物理 休息 拆除 球 使用损坏 平 行动 移动 硬 人类 某事 噪声 罢工 片断 重复 碰撞 废墟 混乱 抛出 沉船 向下 对象 软 大声 汽车 
涂抹,涂抹 混乱 擦拭 
气味,发出 鼻子 好 感知 情感 收集 食品 选择 气味 吸入 狗 身份 向上 经验 呼吸 空气 行动 
微笑,打开 角 轮到 手势 沟通 快乐 嘴唇 激发 嘴里 脸颊 种类 弯曲 牙齿 眨眼 显示 关闭 行动 美容 移动 感觉 好 人类 曲线眼 表达 不错 意图 图片 朋友 宽 蔓延 脸 传染 
烟,按 肺 死 嘴里 钱 举行 黑色 释放 雪茄 灰色 空气 行动 烧伤 人类 药物 吸入呼气 热 危险 毛 呼吸 
黑烟,火 阴霾 雪茄 气味 烟 灰色 
窒息,窒息 死 缺乏 嘴里 ch流 封面 可以 呼吸 空气 氧气 
污迹,污垢 混乱 标记 涂片 墨水 
小吃,餐 食品 小 芯片 吃 治疗 
蜗牛,壳 鼻涕虫 生活 天线 动物 蜗牛 小 作为 慢 吃 盐 离开 软泥 
捕捉,接触 沟通 推 节奏 吓了一跳 分开 足球 快速 力 咬 参加 休息 声音 行动 抓 移动 铅笔 幻灯片 人类 噪声 击败 在一起 爆炸 突然 音乐 骨 意味着 手指疼痛 对象 大声 使 流行音乐 
抢夺,采取 偷走 抢夺 迅速 
潜行,移动 隐身 安静 隐藏 行动 
运动鞋,体育 运动员 类型 鞋底 网球 鞋 磨损 运行 
偷偷摸摸,移动 狡猾 安静 诚实 手 
打喷嚏,按 肺 tic痒 功能 吸入 打击 痒 嘴里 正文 舒适 过敏 飞 哺乳动物 液体 刺激 释放 快速 清除 力 封面 关闭 行动 鼻子 硬 人类 噪声 眼鼻孔 驱逐 胚芽 头发 出 反射 动物 清洁 冷 呼气 蔓延 脸 生病 大声 大 
嗅,吸入 快速 光 气味 狗 花卉 空气 行动 鼻子 鼻孔 手指 鼻 意识到 意图 感官 短 动物 冷 请 生病 噪音 
势利的人,更好 其他 自己 卡住 丰富 粗鲁 向上 认为 人 
贪睡,睡眠 短 小睡 按钮 警报 唤醒 时钟 
打ore,节奏 自愿 晚上 沉重 发出 尴尬 声音 行动 噪音 鼻子 睡眠 人类 打扰 鼻 重复 空气健康 深 喉咙 动物 扰乱 像 刺激性 请 呼吸 大声 振动 
鼻涕,鼻子 来 冷 粘液 鼻屎 运行 绿色 人 
流鼻涕,卡住 向上 粗鲁 傲慢 充分 
雪花,冬季 沉淀 水 冷 白 绒毛 冻结 冰 
依ugg,拥抱 舒适 向上 举行 关闭 软 
浸泡,浸泡 吸收 坐 水 湿 淋湿 液体 
肥皂,好 来 清洁 气味 洗 正文 淋浴 栏 液体 手 
清醒,酒精 药物 醉酒 严重 头脑 
社会,社区 社会 文化 人类 协会 集团 相关 人 
袜子,棉花 棉 材料 薄 孔 脚 根据 气味 鞋 汗 温暖 封面 磨损 使用 冲压 保护 污垢 颜色 织补 对 白 厚 布 体育 清洁 羊毛 保持 打 高 对象 软 膝盖 
苏打水,饮料 水 碳 钠 
沙发,den 费用 两个 座位 长 椅子 舒适 房间 新 气味 装饰 名词生活 枕头 睡眠 腿部 家具 人类 自己 四 垫 三个 首页 电视 跳转 床 扶手 向下 对象 软 皮套 大 手表 
柔软,感觉 硬 毛毯 触摸 舒适 请 枕头 
垒球,棒球 体育 球 播放 一轮 软 游戏 蝙蝠 大 
土壤,污垢 花园 地面 成长 地球 植物 
士兵,军队 战斗 军事 战争 人 
固体,物体 坚固 气体 硬质 液体 
独奏,单身 一个人 一个 表演 单独 
解决方案,问题 正确 解决 液体 答案 
一些,很少 更多 很多 小 具体 数量 
某事,确定 特定 定义 知道 
有时,一次 经常 场合 总是 时间 现在 
儿子,男孩 下降 父母 之一 后代 儿童 男性 相关 他 人 
歌曲,歌词 音乐 设置 唱歌 组成 
声波,快速 速度 食品 声音 餐厅 相关 大声 
十四行诗,诗歌 韵 莎士比亚 写 线 
很快,将 快速 短 未来 来 发生 时间 关闭 附近 现在 
烟灰,残渣 污垢 灰 火 烟 烟囱 黑色 
抚慰,感觉 舒缓 镇静 舒适 放松 
高二,第二 学院 学校 年 高 学生 
女高音,音乐 合唱团 歌剧 语音 高 显示 电视 唱歌 基音 
抱歉,方 感觉 re悔 希腊 学院 朋友 博爱 集团 遗憾 房子 姐姐 女孩 可惜 道歉 
汤,鸡肉 面条 食品 番茄 蔬菜 吃 热 生病 液体 
南,直接 北 密西西比州 向下 对面 
南部,直接 北 南 州 对面 
母猪,种子 猪 植物 农场 女性 
空间,空 区域 行星 明星 月亮 
锹,工具 花园 铲 挖 金属 黑色 手 
垃圾邮件,电子邮件 垃圾 肉 食品 邮件 
跨度,长度 度量 距离 时间 周期 
西班牙语,墨西哥 美国 外国 说 西班牙 语言 人 
打屁股,对接 门徒 命中 惩罚 小吃 底部 桨 巴掌 
备用,物品 案例 轮胎 额外 使用 
闪光的,反映 快乐 照亮 闪光器 闪存 发出 明星 新 小 雪 光泽 光 玻璃 行动 美容 感觉 颜色 硬 光明 人类 视觉 意图 工作 笑 布 感官 看看 情感 清洁 眼好 消防 闪烁 对象 闪光 画笔 汽车 漂亮 
麻雀,唱歌 chi 羽毛 动物 巢 铺设 小 鸡蛋 翼 飞 迁移 鸟 喙 生成 
痉挛,移动 抓住 肌肉 控制 抽搐 
锅铲,库克 金属 橡胶 翻转 木 手 长 塑料 平 烘烤 使用 厨房 
讲,沟通 学习 语音 单词 使说 产生 舌头 思想 相反 声音 休闲 创建 行动 动词 语言 移动 人类 噪声 某人 认识 表达 想法 窗体 谈话 
矛,狩猎 杀死 锋利 投掷 木 鱼 长 原始 结束 薄 危险 武器 头 点 手 
特殊的,普通的 良好的 独特的 不同的 与众不同的 
具体,特殊 定义 独特 精确 
语音,沟通 谈话 公共 单词 说 
速度,快速 移动 慢 速率 措施 种族 汽车 
拼写,窗体 魔术 正确 单词 期间 时间 广播 写 字母 
花,时间 钱 购买 向上 给 支付 
狮身人面像,狮子 一半 金字塔 埃及 沙漠 雕像 之一 神话 正文 生物 头 
香料,风味 口味 食品 胡椒 热 
辣,烧伤 风味 口味 食品 胡椒 热 香料 
蜘蛛,旋转 八 小 爬网 腿 昆虫 吃 web 毒药 眼睛 飞 鸡蛋 头发 六个 铺设 大 黑色 惊吓 
旋转,移动 旋转 圆 转 头晕 议案 
菠菜,花园 汤 蔬菜 营养 大力水手 吃 休假 增长 健康 维生素 库克 地面 暗 坏 叶 沙拉 食品 对象 强 绿色 
脊柱,骨 绳 返回 正文 部分 
吐,遥远 嘴唇 嘴里 目标 液体 力 法案 移动 过量 人类 唾液 坏 驱逐 毛 射击 出 动物 项目 湿 粗鲁 恶心 清除 
溅,颜色 湿 水 冷 池 
接头,两个 拆分 一起 切片 切 
碎片,移动 件 休息 小 木材 卡住 皮肤 针 
拆分,半 划分 休息 剪切 分开 
被宠坏了,布拉特 腐烂 损坏 坏 宠坏了 
海绵,浸泡 生活 吸收 动物 清洁 水 洗 材料 向上 菜 软 海 液体 孔 
自发的,快速 具有 冲动 计划 时刻 突然 行为 
线轴,气缸 纱 线程 字符串 风 举行 一轮 缝制 
汤匙,汤 金属 甜点 长 吃 塑料 举行 材料 液体 刀 曲线 碗 木材 一轮 发光 表 人类 银结束 措施 混合 手 搅拌 大小 部分 勺 对象 银器 钢包 
体育,棒球 运动员 物理 娱乐 球 播放 竞争 篮球 游戏 行动 足球 人 
现货,马克 破坏 地方 狗 污点 点 
一尘不染,具有 干净 斑点 完美无瑕 清除 
配偶,伙伴 朋友 伴侣 丈夫 已婚 表示 妻子 人 
扭伤,脚踝 受伤 正文 部分 疼痛 扭转 关节 应变 
传播,刀 食品 面包 黄油 封面 
狂欢,糖果 法案 期间 时间 商店 
春天,季节 雨 太阳 温暖 花卉 
撒,轻 顶部 雨 小 水 散布 
小队,军事 一起 团队 集团 人 
方形,四个 角度 侧面 形状 相等 
吱吱声,鼠标 声音 高 音高 噪音 
尖叫,尖叫 噪声 尖叫声 声音 高 猪 音高 
鱿鱼,触手 海洋 水 软泥 鱼 游泳 吃 墨水 海 咸水 射击 海鲜 
斜眼看,打开 锋利 损坏 水 减轻 风 疼痛 响应 皱纹读取 眨眼 困难 缩小 小 光 伤害 太阳 平 关闭 保护 行动 人类 表达 意图 看看 反射 刺激性 脸 明亮 部分 对象 出来 清除 
刺,锋利 蜜蜂 推 法律 命中 死亡 黄蜂 正文 疼痛 自愿 刀片式服务器 是动物 孔 力 休息 伤害 切 犯罪 行动 烧伤 杀死 伤口 人类 血液 手臂 坏 危险 穿刺 推力 暴力 对象 
稳定,谷仓 地方 安全 更改 马 
堆栈,顶部 一个 纸 桩 对象 
体育场,竞技场 事件 体育 座位 地方 音乐会 人 举行 大 手表 
蹒跚,饮料 目的 背后 旅行 困难 尴尬 伤害 运输 拖动 行动 移动 睡眠 人类 需要 秋天 步行 搞笑 动物 生病 
楼梯,楼梯 一个 步骤 木材 系列 一步 爬升 向下 向上 生成 升高 步行 
